,help,metrics,name,type
0,VmallocTotal from /proc/meminfo.,{u'value': u'3.5184372087808e+13'},node_memory_VmallocTotal,GAUGE
0,"TcpExt TCPTimeWaitOverflow from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPTimeWaitOverflow,GAUGE
0,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth0'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
1,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth1'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
2,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth2'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
3,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth3'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
4,errs transmit from /proc/net/dev.,"{u'labels': {u'device': u'lo'}, u'value': u'0'}",node_network_transmit_errs,GAUGE
0,"TcpExt TCPSACKDiscard from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPSACKDiscard,GAUGE
0,"Ip DefaultTTL from /proc/net/{netstat,snmp}.",{u'value': u'64'},node_netstat_Ip_DefaultTTL,GAUGE
0,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth0'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
1,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth1'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
2,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth2'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
3,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth3'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
4,frame transmit from /proc/net/dev.,"{u'labels': {u'device': u'lo'}, u'value': u'0'}",node_network_transmit_frame,GAUGE
0,"Ip FragCreates from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_FragCreates,GAUGE
0,"TcpExt TCPOFOMerge from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPOFOMerge,GAUGE
0,MemTotal from /proc/meminfo.,{u'value': u'2.074021888e+09'},node_memory_MemTotal,GAUGE
0,SwapFree from /proc/meminfo.,{u'value': u'5.34769664e+08'},node_memory_SwapFree,GAUGE
0,"Udp SndbufErrors from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Udp_SndbufErrors,GAUGE
0,"IpExt OutBcastOctets from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_IpExt_OutBcastOctets,GAUGE
0,"IpExt OutOctets from /proc/net/{netstat,snmp}.",{u'value': u'1.3598884e+07'},node_netstat_IpExt_OutOctets,GAUGE
0,Resident memory size in bytes.,{u'value': u'1.4303232e+07'},process_resident_memory_bytes,GAUGE
0,Committed_AS from /proc/meminfo.,{u'value': u'1.08027904e+08'},node_memory_Committed_AS,GAUGE
0,"Ip InDiscards from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_InDiscards,GAUGE
0,HardwareCorrupted from /proc/meminfo.,{u'value': u'0'},node_memory_HardwareCorrupted,GAUGE
0,"TcpExt TCPFastOpenActive from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPFastOpenActive,GAUGE
0,VmallocChunk from /proc/meminfo.,{u'value': u'3.5184337805312e+13'},node_memory_VmallocChunk,GAUGE
0,The HTTP request latencies in microseconds.,"{u'count': u'1883', u'sum': u'2.0067407172000013e+07', u'quantiles': {u'0.9': u'14315.632', u'0.5': u'7709.346', u'0.99': u'19956.644'}, u'labels': {u'handler': u'prometheus'}}",http_request_duration_microseconds,SUMMARY
0,AnonHugePages from /proc/meminfo.,{u'value': u'8.388608e+06'},node_memory_AnonHugePages,GAUGE
0,"Tcp MaxConn from /proc/net/{netstat,snmp}.",{u'value': u'-1'},node_netstat_Tcp_MaxConn,GAUGE
0,"TcpExt TCPRcvCoalesce from /proc/net/{netstat,snmp}.",{u'value': u'1'},node_netstat_TcpExt_TCPRcvCoalesce,GAUGE
0,"TcpExt TCPSackRecovery from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPSackRecovery,GAUGE
0,"TcpExt TWKilled from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TWKilled,GAUGE
0,"Ip InUnknownProtos from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_InUnknownProtos,GAUGE
0,"Tcp InErrs from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Tcp_InErrs,GAUGE
0,"IpExt InECT1Pkts from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_IpExt_InECT1Pkts,GAUGE
0,fifo transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth0'}, u'value': u'0'}",node_network_transmit_fifo,GAUGE
1,fifo transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth1'}, u'value': u'0'}",node_network_transmit_fifo,GAUGE
2,fifo transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth2'}, u'value': u'0'}",node_network_transmit_fifo,GAUGE
3,fifo transmit from /proc/net/dev.,"{u'labels': {u'device': u'eth3'}, u'value': u'0'}",node_network_transmit_fifo,GAUGE
4,fifo transmit from /proc/net/dev.,"{u'labels': {u'device': u'lo'}, u'value': u'0'}",node_network_transmit_fifo,GAUGE
0,"TcpExt TCPDSACKIgnoredNoUndo from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPDSACKIgnoredNoUndo,GAUGE
0,The number of reads merged. See https://www.kernel.org/doc/Documentation/iostats.txt.,"{u'labels': {u'device': u'sda'}, u'value': u'1659'}",node_disk_reads_merged,COUNTER
1,The number of reads merged. See https://www.kernel.org/doc/Documentation/iostats.txt.,"{u'labels': {u'device': u'sr0'}, u'value': u'0'}",node_disk_reads_merged,COUNTER
0,"Ip ReasmReqds from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_ReasmReqds,GAUGE
0,"Ip OutNoRoutes from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_OutNoRoutes,GAUGE
0,"IpExt InTruncatedPkts from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_IpExt_InTruncatedPkts,GAUGE
0,"TcpExt TCPTimeouts from /proc/net/{netstat,snmp}.",{u'value': u'7'},node_netstat_TcpExt_TCPTimeouts,GAUGE
0,"TcpExt TCPBacklogDrop from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPBacklogDrop,GAUGE
0,The HTTP response sizes in bytes.,"{u'count': u'1886', u'sum': u'1.1858247e+07', u'quantiles': {u'0.9': u'6307', u'0.5': u'6299', u'0.99': u'6311'}, u'labels': {u'handler': u'prometheus'}}",http_response_size_bytes,SUMMARY
0,Slab from /proc/meminfo.,{u'value': u'1.8612224e+07'},node_memory_Slab,GAUGE
0,"TcpExt TCPFullUndo from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPFullUndo,GAUGE
0,frame receive from /proc/net/dev.,"{u'labels': {u'device': u'eth0'}, u'value': u'0'}",node_network_receive_frame,GAUGE
1,frame receive from /proc/net/dev.,"{u'labels': {u'device': u'eth1'}, u'value': u'0'}",node_network_receive_frame,GAUGE
2,frame receive from /proc/net/dev.,"{u'labels': {u'device': u'eth2'}, u'value': u'0'}",node_network_receive_frame,GAUGE
3,frame receive from /proc/net/dev.,"{u'labels': {u'device': u'eth3'}, u'value': u'0'}",node_network_receive_frame,GAUGE
4,frame receive from /proc/net/dev.,"{u'labels': {u'device': u'lo'}, u'value': u'0'}",node_network_receive_frame,GAUGE
0,"UdpLite NoPorts from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_UdpLite_NoPorts,GAUGE
0,Buffers from /proc/meminfo.,{u'value': u'1.2812288e+07'},node_memory_Buffers,GAUGE
0,"Ip FragFails from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_FragFails,GAUGE
0,"TcpExt TCPSackRecoveryFail from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPSackRecoveryFail,GAUGE
0,"TcpExt BusyPollRxPackets from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_BusyPollRxPackets,GAUGE
0,"Icmp InRedirects from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_InRedirects,GAUGE
0,"TcpExt TCPFACKReorder from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPFACKReorder,GAUGE
0,"TcpExt TCPRcvCollapsed from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPRcvCollapsed,GAUGE
0,"Icmp OutDestUnreachs from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutDestUnreachs,GAUGE
0,"UdpLite RcvbufErrors from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_UdpLite_RcvbufErrors,GAUGE
0,"TcpExt TCPLostRetransmit from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPLostRetransmit,GAUGE
0,"Tcp AttemptFails from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Tcp_AttemptFails,GAUGE
0,"Icmp OutSrcQuenchs from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutSrcQuenchs,GAUGE
0,"TcpExt TCPOFODrop from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPOFODrop,GAUGE
0,"Node boot time, in unixtime.",{u'value': u'1.459098407e+09'},node_boot_time,GAUGE
0,KernelStack from /proc/meminfo.,{u'value': u'745472'},node_memory_KernelStack,GAUGE
0,"Ip InReceives from /proc/net/{netstat,snmp}.",{u'value': u'16439'},node_netstat_Ip_InReceives,GAUGE
0,errs receive from /proc/net/dev.,"{u'labels': {u'device': u'eth0'}, u'value': u'0'}",node_network_receive_errs,GAUGE
1,errs receive from /proc/net/dev.,"{u'labels': {u'device': u'eth1'}, u'value': u'0'}",node_network_receive_errs,GAUGE
2,errs receive from /proc/net/dev.,"{u'labels': {u'device': u'eth2'}, u'value': u'0'}",node_network_receive_errs,GAUGE
3,errs receive from /proc/net/dev.,"{u'labels': {u'device': u'eth3'}, u'value': u'0'}",node_network_receive_errs,GAUGE
4,errs receive from /proc/net/dev.,"{u'labels': {u'device': u'lo'}, u'value': u'0'}",node_network_receive_errs,GAUGE
0,"Icmp OutEchoReps from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutEchoReps,GAUGE
0,"Ip OutDiscards from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_OutDiscards,GAUGE
0,The total number of writes completed successfully.,"{u'labels': {u'device': u'sda'}, u'value': u'208'}",node_disk_writes_completed,COUNTER
1,The total number of writes completed successfully.,"{u'labels': {u'device': u'sr0'}, u'value': u'0'}",node_disk_writes_completed,COUNTER
0,Active_anon from /proc/meminfo.,{u'value': u'1.9165184e+07'},node_memory_Active_anon,GAUGE
0,"TcpExt TWRecycled from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TWRecycled,GAUGE
