;name;monitoring;mini-mon;valeur;time;prediction
2016-05-10T22:40:30.000Z;net.out_packets_sec;monitoring;mini-mon;5.06666666667;169;5.42655241163
2016-05-10T22:40:45.000Z;net.out_packets_sec;monitoring;mini-mon;5.0;170;5.35903524772
2016-05-10T22:41:00.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;171;3.89170582325
2016-05-10T22:41:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.53333333333;172;3.82061788662
2016-05-10T22:41:30.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;173;4.10474759018
2016-05-10T22:41:45.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;174;5.22369013259
2016-05-10T22:42:00.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;175;4.10474759018
2016-05-10T22:42:15.000Z;net.out_packets_sec;monitoring;mini-mon;5.4;176;5.76258429457
2016-05-10T22:42:30.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;177;4.10474759018
2016-05-10T22:42:45.000Z;net.out_packets_sec;monitoring;mini-mon;5.4;178;5.76258429457
2016-05-10T22:43:00.000Z;net.out_packets_sec;monitoring;mini-mon;5.06666666667;179;5.42655241163
2016-05-10T22:43:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;180;4.17568749817
2016-05-10T22:43:30.000Z;net.out_packets_sec;monitoring;mini-mon;5.8;181;6.16280333377
2016-05-10T22:43:45.000Z;net.out_packets_sec;monitoring;mini-mon;3.93333333333;182;4.246590399
2016-05-10T22:44:00.000Z;net.out_packets_sec;monitoring;mini-mon;5.0;183;5.35903524772
2016-05-10T22:44:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;184;4.17568749817
2016-05-10T22:44:30.000Z;net.out_packets_sec;monitoring;mini-mon;4.66666666667;185;5.01989549158
2016-05-10T22:44:45.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;186;5.22369013259
2016-05-10T22:45:00.000Z;net.out_packets_sec;monitoring;mini-mon;5.13333333333;187;5.49396597977
2016-05-10T22:45:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.53333333333;188;3.82061788662
2016-05-10T22:45:30.000Z;net.out_packets_sec;monitoring;mini-mon;4.8;189;5.15586218136
2016-05-10T22:45:45.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;190;4.10474759018
2016-05-10T22:46:00.000Z;net.out_packets_sec;monitoring;mini-mon;3.53333333333;191;3.82061788662
2016-05-10T22:46:15.000Z;net.out_packets_sec;monitoring;mini-mon;4.8;192;5.15586218136
2016-05-10T22:46:30.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;193;4.10474759018
2016-05-10T22:46:46.000Z;net.out_packets_sec;monitoring;mini-mon;3.625;194;3.91835425858
2016-05-10T22:47:01.000Z;net.out_packets_sec;monitoring;mini-mon;4.8;195;5.15586218136
2016-05-10T22:47:16.000Z;net.out_packets_sec;monitoring;mini-mon;3.53333333333;196;3.82061788662
2016-05-10T22:47:31.000Z;net.out_packets_sec;monitoring;mini-mon;3.53333333333;197;3.82061788662
2016-05-10T22:47:46.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;198;3.89170582325
2016-05-10T22:48:01.000Z;net.out_packets_sec;monitoring;mini-mon;4.53333333333;199;4.88305118429
2016-05-10T22:48:16.000Z;net.out_packets_sec;monitoring;mini-mon;4.06666666667;200;4.38828517918
2016-05-10T22:48:31.000Z;net.out_packets_sec;monitoring;mini-mon;5.06666666667;201;5.42655241163
2016-05-10T22:48:46.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;202;4.17568749817
2016-05-10T22:49:01.000Z;net.out_packets_sec;monitoring;mini-mon;5.93333333333;203;6.29631766769
2016-05-10T22:49:16.000Z;net.out_packets_sec;monitoring;mini-mon;4.06666666667;204;4.38828517918
2016-05-10T22:49:31.000Z;net.out_packets_sec;monitoring;mini-mon;4.73333333333;205;5.08793063435
2016-05-10T22:49:46.000Z;net.out_packets_sec;monitoring;mini-mon;4.13333333333;206;4.45907705853
2016-05-10T22:50:01.000Z;net.out_packets_sec;monitoring;mini-mon;4.66666666667;207;5.01989549158
2016-05-10T22:50:16.000Z;net.out_packets_sec;monitoring;mini-mon;3.93333333333;208;4.246590399
2016-05-10T22:50:31.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;209;4.17568749817
2016-05-10T22:50:46.000Z;net.out_packets_sec;monitoring;mini-mon;4.6;210;4.95175675303
2016-05-10T22:51:01.000Z;net.out_packets_sec;monitoring;mini-mon;4.2;211;4.52983193073
2016-05-10T22:51:16.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;212;5.29141448804
2016-05-10T22:51:31.000Z;net.out_packets_sec;monitoring;mini-mon;3.53333333333;213;3.82061788662
2016-05-10T22:51:46.000Z;net.out_packets_sec;monitoring;mini-mon;5.06666666667;214;5.42655241163
2016-05-10T22:52:01.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;215;4.10474759018
2016-05-10T22:52:16.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;216;5.29141448804
2016-05-10T22:52:31.000Z;net.out_packets_sec;monitoring;mini-mon;3.66666666667;217;3.96275675272
2016-05-10T22:52:46.000Z;net.out_packets_sec;monitoring;mini-mon;4.53333333333;218;4.88305118429
2016-05-10T22:53:01.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;219;5.22369013259
2016-05-10T22:53:16.000Z;net.out_packets_sec;monitoring;mini-mon;3.53333333333;220;3.82061788662
2016-05-10T22:53:31.000Z;net.out_packets_sec;monitoring;mini-mon;4.0;221;4.31745629267
2016-05-10T22:53:46.000Z;net.out_packets_sec;monitoring;mini-mon;3.2;222;3.46637548505
2016-05-10T22:54:01.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;223;5.29141448804
2016-05-10T22:54:16.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;224;4.10474759018
2016-05-10T22:54:31.000Z;net.out_packets_sec;monitoring;mini-mon;3.46666666667;225;3.74950730237
2016-05-10T22:54:46.000Z;net.out_packets_sec;monitoring;mini-mon;6.86666666667;226;7.22065011452
2016-05-10T22:55:01.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;227;3.89170582325
2016-05-10T22:55:16.000Z;net.out_packets_sec;monitoring;mini-mon;3.66666666667;228;3.96275675272
2016-05-10T22:55:31.000Z;net.out_packets_sec;monitoring;mini-mon;4.66666666667;229;5.01989549158
2016-05-10T22:55:46.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;230;4.10474759018
2016-05-10T22:56:01.000Z;net.out_packets_sec;monitoring;mini-mon;5.06666666667;231;5.42655241163
2016-05-10T22:56:16.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;232;4.17568749817
2016-05-10T22:56:31.000Z;net.out_packets_sec;monitoring;mini-mon;3.33333333333;233;3.60805163999
2016-05-10T22:56:46.000Z;net.out_packets_sec;monitoring;mini-mon;5.0;234;5.35903524772
2016-05-10T22:57:01.000Z;net.out_packets_sec;monitoring;mini-mon;3.93333333333;235;4.246590399
2016-05-10T22:57:16.000Z;net.out_packets_sec;monitoring;mini-mon;4.53333333333;236;4.88305118429
2016-05-10T22:57:31.000Z;net.out_packets_sec;monitoring;mini-mon;2.2;237;2.37819624482
2016-05-10T22:57:46.000Z;net.out_packets_sec;monitoring;mini-mon;4.46666666667;238;4.8124813479
2016-05-10T22:58:01.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;239;4.17568749817
2016-05-10T22:58:16.000Z;net.out_packets_sec;monitoring;mini-mon;4.13333333333;240;4.45907705853
2016-05-10T22:58:31.000Z;net.out_packets_sec;monitoring;mini-mon;4.73333333333;241;5.08793063435
2016-05-10T22:58:46.000Z;net.out_packets_sec;monitoring;mini-mon;3.2;242;3.46637548505
2016-05-10T22:59:01.000Z;net.out_packets_sec;monitoring;mini-mon;5.66666666667;243;6.029545077
2016-05-10T22:59:16.000Z;net.out_packets_sec;monitoring;mini-mon;3.66666666667;244;3.96275675272
2016-05-10T22:59:31.000Z;net.out_packets_sec;monitoring;mini-mon;3.73333333333;245;4.03377067503
2016-05-10T22:59:46.000Z;net.out_packets_sec;monitoring;mini-mon;4.46666666667;246;4.8124813479
2016-05-10T23:00:01.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;247;3.89170582325
2016-05-10T23:00:16.000Z;net.out_packets_sec;monitoring;mini-mon;4.0;248;4.31745629267
2016-05-10T23:00:31.000Z;net.out_packets_sec;monitoring;mini-mon;4.33333333333;249;4.67123065363
2016-05-10T23:00:46.000Z;net.out_packets_sec;monitoring;mini-mon;4.2;250;4.52983193073
2016-05-10T23:01:01.000Z;net.out_packets_sec;monitoring;mini-mon;5.26666666667;251;5.62848232872
2016-05-10T23:01:16.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;252;4.17568749817
2016-05-10T23:01:31.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;253;5.29141448804
2016-05-10T23:01:46.000Z;net.out_packets_sec;monitoring;mini-mon;4.0;254;4.31745629267
