0
[ 7.66666667  9.13333333  8.46666667  9.46666667  6.66666667]
[  9.13333333   8.46666667   9.46666667   6.66666667  10.26666667]
[  8.46666667   9.46666667   6.66666667  10.26666667   6.4       ]
[  9.46666667   6.66666667  10.26666667   6.4          7.86666667]
[  6.66666667  10.26666667   6.4          7.86666667   7.2       ]
[ 10.26666667   6.4          7.86666667   7.2          8.53333333]
[ 6.4         7.86666667  7.2         8.53333333  7.33333333]
[ 7.86666667  7.2         8.53333333  7.33333333  8.66666667]
[ 7.2         8.53333333  7.33333333  8.66666667  8.6       ]
[ 8.53333333  7.33333333  8.66666667  8.6         7.4       ]
[ 7.33333333  8.66666667  8.6         7.4         8.4       ]
[ 8.66666667  8.6         7.4         8.4         7.26666667]
[ 8.6         7.4         8.4         7.26666667  7.4       ]
[ 7.4         8.4         7.26666667  7.4         6.8       ]
[ 8.4         7.26666667  7.4         6.8         8.2       ]
[ 7.26666667  7.4         6.8         8.2         8.4       ]
[ 7.4  6.8  8.2  8.4  7.6]
[ 6.8         8.2         8.4         7.6         7.33333333]
[ 8.2         8.4         7.6         7.33333333  8.6       ]
[ 8.4         7.6         7.33333333  8.6         6.93333333]
[ 7.6         7.33333333  8.6         6.93333333  7.33333333]
[ 7.33333333  8.6         6.93333333  7.33333333  8.53333333]
[ 8.6         6.93333333  7.33333333  8.53333333  7.13333333]
[ 6.93333333  7.33333333  8.53333333  7.13333333  7.13333333]
[ 7.33333333  8.53333333  7.13333333  7.13333333  8.86666667]
[ 8.53333333  7.13333333  7.13333333  8.86666667  7.66666667]
[  7.13333333   7.13333333   8.86666667   7.66666667  10.2       ]
[  7.13333333   8.86666667   7.66666667  10.2          7.2       ]
[  8.86666667   7.66666667  10.2          7.2          8.33333333]
[  7.66666667  10.2          7.2          8.33333333   8.26666667]
[ 10.2          7.2          8.33333333   8.26666667   8.4       ]
[ 7.2         8.33333333  8.26666667  8.4         8.06666667]
[ 8.33333333  8.26666667  8.4         8.06666667  7.6       ]
[ 8.26666667  8.4         8.06666667  7.6         7.86666667]
[ 8.4         8.06666667  7.6         7.86666667  6.6       ]
[  8.06666667   7.6          7.86666667   6.6         10.4       ]
[  7.6          7.86666667   6.6         10.4          7.66666667]
[  7.86666667   6.6         10.4          7.66666667  11.06666667]
[  6.6         10.4          7.66666667  11.06666667   6.73333333]
[ 10.4          7.66666667  11.06666667   6.73333333   8.        ]
[  7.66666667  11.06666667   6.73333333   8.           9.13333333]
[ 11.06666667   6.73333333   8.           9.13333333  10.73333333]
[  6.73333333   8.           9.13333333  10.73333333   6.26666667]
[  8.           9.13333333  10.73333333   6.26666667   8.2       ]
[  9.13333333  10.73333333   6.26666667   8.2          7.3125    ]
[ 10.73333333   6.26666667   8.2          7.3125       8.13333333]
[ 6.26666667  8.2         7.3125      8.13333333  7.66666667]
[ 8.2         7.3125      8.13333333  7.66666667  8.26666667]
[ 7.3125      8.13333333  7.66666667  8.26666667  7.33333333]
[ 8.13333333  7.66666667  8.26666667  7.33333333  8.4       ]
[ 7.66666667  8.26666667  7.33333333  8.4         6.6       ]
[ 8.26666667  7.33333333  8.4         6.6         8.93333333]
[ 7.33333333  8.4         6.6         8.93333333  6.06666667]
[ 8.4         6.6         8.93333333  6.06666667  7.86666667]
[ 6.6         8.93333333  6.06666667  7.86666667  6.93333333]
[ 8.93333333  6.06666667  7.86666667  6.93333333  9.        ]
[ 6.06666667  7.86666667  6.93333333  9.          7.4       ]
[ 7.86666667  6.93333333  9.          7.4         8.73333333]
[ 6.93333333  9.          7.4         8.73333333  7.73333333]
[ 9.          7.4         8.73333333  7.73333333  7.86666667]
[ 7.4         8.73333333  7.73333333  7.86666667  6.53333333]
[ 8.73333333  7.73333333  7.86666667  6.53333333  7.8       ]
[ 7.73333333  7.86666667  6.53333333  7.8         7.46666667]
[ 7.86666667  6.53333333  7.8         7.46666667  8.2       ]
[ 6.53333333  7.8         7.46666667  8.2         7.26666667]
[ 7.8         7.46666667  8.2         7.26666667  7.4       ]
[ 7.46666667  8.2         7.26666667  7.4         8.06666667]
[ 8.2         7.26666667  7.4         8.06666667  8.4       ]
[ 7.26666667  7.4         8.06666667  8.4         7.06666667]
[ 7.4         8.06666667  8.4         7.06666667  8.46666667]
[ 8.06666667  8.4         7.06666667  8.46666667  7.8       ]
[ 8.4         7.06666667  8.46666667  7.8         9.53333333]
[ 7.06666667  8.46666667  7.8         9.53333333  6.4       ]
[ 8.46666667  7.8         9.53333333  6.4         8.46666667]
[ 7.8         9.53333333  6.4         8.46666667  8.73333333]
[  9.53333333   6.4          8.46666667   8.73333333  10.13333333]
[  6.4          8.46666667   8.73333333  10.13333333   9.46666667]
[  8.46666667   8.73333333  10.13333333   9.46666667   8.46666667]
[  8.73333333  10.13333333   9.46666667   8.46666667   7.33333333]
[ 10.13333333   9.46666667   8.46666667   7.33333333   9.46666667]
[ 9.46666667  8.46666667  7.33333333  9.46666667  8.2       ]
[ 8.46666667  7.33333333  9.46666667  8.2         8.2       ]
[ 7.33333333  9.46666667  8.2         8.2         7.66666667]
[ 9.46666667  8.2         8.2         7.66666667  7.73333333]
[ 8.2         8.2         7.66666667  7.73333333  7.26666667]
[ 8.2         7.66666667  7.73333333  7.26666667  8.33333333]
[ 7.66666667  7.73333333  7.26666667  8.33333333  5.8       ]
[ 7.73333333  7.26666667  8.33333333  5.8         8.33333333]
[ 7.26666667  8.33333333  5.8         8.33333333  7.        ]
[ 8.33333333  5.8         8.33333333  7.          8.6       ]
[ 5.8         8.33333333  7.          8.6         7.6       ]
